entity_name,type,zone,purpose,required,notes
zone_gate_5,info_target,Entrada Zona 5,Puerta logica,yes,Colocar en el acceso visual
zone_6_spawn_1,info_target,Zona 6,Spawn normal,yes,Campamento normal
zone_6_spawn_2,info_target,Zona 6,Spawn normal,yes,Campamento normal
zone_6_spawn_3,info_target,Zona 6,Spawn normal,yes,Campamento normal
zone_6_elite_spawn,info_target,Zona 6,Spawn elite,yes,Elite de pantano
area_boss_6_spawn,info_target,Zona 6,Jefe de area,yes,Arena avanzada
zone_boss_6_spawn,info_target,Zona 6,Jefe de zona,yes,Desbloquea Zona 7 y Mundo 7
respawn_zone_6,info_target,Zona 6,Respawn de zona,yes,Entrada segura
zone_gate_6,info_target,Entrada Zona 6,Puerta logica,yes,Colocar en el acceso visual
zone_7_spawn_1,info_target,Zona 7,Spawn normal,yes,Campamento normal
zone_7_spawn_2,info_target,Zona 7,Spawn normal,yes,Campamento normal
zone_7_spawn_3,info_target,Zona 7,Spawn normal,yes,Campamento normal
zone_7_elite_spawn,info_target,Zona 7,Spawn elite,yes,Elite demoniaco
area_boss_7_spawn,info_target,Zona 7,Jefe de area,yes,Arena demoniaca
zone_boss_7_spawn,info_target,Zona 7,Jefe de zona,yes,Desbloquea Zona 8 y Mundo 8
respawn_zone_7,info_target,Zona 7,Respawn de zona,yes,Entrada segura
zone_gate_7,info_target,Entrada Zona 7,Puerta logica,yes,Colocar en el acceso visual
zone_8_spawn_1,info_target,Zona 8,Spawn normal,yes,Campamento normal
zone_8_spawn_2,info_target,Zona 8,Spawn normal,yes,Campamento normal
zone_8_spawn_3,info_target,Zona 8,Spawn normal,yes,Campamento normal
zone_8_elite_spawn,info_target,Zona 8,Spawn elite,yes,Elite abisal
area_boss_8_spawn,info_target,Zona 8,Jefe de area,yes,Arena catedral
zone_boss_8_spawn,info_target,Zona 8,Jefe de zona,yes,Desbloquea Zona 9 y Mundo 9
respawn_zone_8,info_target,Zona 8,Respawn de zona,yes,Entrada segura
zone_gate_8,info_target,Entrada Zona 8,Puerta logica,yes,Colocar en el acceso visual
zone_9_spawn_1,info_target,Zona 9,Spawn normal,yes,Campamento normal
zone_9_spawn_2,info_target,Zona 9,Spawn normal,yes,Campamento normal
zone_9_spawn_3,info_target,Zona 9,Spawn normal,yes,Campamento normal
zone_9_elite_spawn,info_target,Zona 9,Spawn elite,yes,Elite primordial
area_boss_9_spawn,info_target,Zona 9,Jefe de area,yes,Arena primordial
zone_boss_9_spawn,info_target,Zona 9,Jefe de zona,yes,Desbloquea Zona 10 y Mundo 10
respawn_zone_9,info_target,Zona 9,Respawn de zona,yes,Entrada segura
zone_gate_9,info_target,Entrada Zona 9,Puerta logica,yes,Colocar en el acceso visual
zone_10_spawn_1,info_target,Zona 10,Spawn normal,yes,Campamento final
zone_10_spawn_2,info_target,Zona 10,Spawn normal,yes,Campamento final
zone_10_spawn_3,info_target,Zona 10,Spawn normal,yes,Campamento final
zone_10_elite_spawn,info_target,Zona 10,Spawn elite,yes,Elite final
area_boss_10_spawn,info_target,Zona 10,Jefe de area,yes,Arena final
zone_boss_10_spawn,info_target,Zona 10,Jefe de zona,yes,Cierre del ciclo inicial
respawn_zone_10,info_target,Zona 10,Respawn de zona,yes,Entrada segura
zone_gate_10,info_target,Entrada Zona 10,Puerta logica,yes,Colocar en el acceso visual
